DAY,DATE,HOLIDAY,,,,,,
Sunday,10/9/2022,Milad un-Nabi/Id-e-Milad (Tentative Date),,,,,,
Thursday,10/13/2022,Karaka Chaturthi (Karva Chauth),,,,,,
Monday,10/24/2022,Naraka Chaturdasi,,,,,,
Monday,10/24/2022,Diwali/Deepavali,,,,,,
Tuesday,10/25/2022,Govardhan Puja,,,,,,
Wednesday,10/26/2022,Bhai Duj,,,,,,
Sunday,10/30/2022,Chhat Puja (Pratihar Sashthi/Surya Sashthi),,,,,,
Monday,10/31/2022,Halloween,,,,,,
Tuesday,11/8/2022,Guru Nanak Jayanti,,,,,,
Thursday,11/24/2022,Guru Tegh Bahadur's Martyrdom Day,,,,,,
Monday,12/19/2022,First Day of Hanukkah,,,,,,
Thursday,12/22/2022,December Solstice,,,,,,
Saturday,12/24/2022,Christmas Eve,,,,,,
Sunday,12/25/2022,Christmas,,,,,,
Monday,12/26/2022,Last day of Hanukkah,,,,,,
Thursday,12/29/2022,Guru Govind Singh Jayanti,,,,,,
Saturday,12/31/2022,New Year's Eve,,,,,,
Friday,1/1/2021,New Year's Day,,,,,,
Wednesday,1/13/2021,Lohri,,,,,,
Thursday,1/14/2021,Pongal,,,,,,
Thursday,1/14/2021,Makar Sankranti,,,,,,
Wednesday,1/20/2021,Guru Govind Singh Jayanti,,,,,,
Tuesday,1/26/2021,Republic Day,,,,,,
,,,,,,,,
Friday,2/12/2021,Chinese New Year,,,,,,
Sunday,2/14/2021,Valentine's Day,,,,,,
Tuesday,2/16/2021,Vasant Panchami,,,,,,
Friday,2/19/2021,Shivaji Jayanti,,,,,,
Friday,2/26/2021,Hazarat Ali's Birthday,,,,,,
Saturday,2/27/2021,Guru Ravidas Jayanti,,,,,,
,,,,,,,,
Monday,3/8/2021,Maharishi Dayanand Saraswati Jayanti,,,,,,
Thursday,3/11/2021,Maha Shivaratri/Shivaratri,,,,,,
Saturday,3/20/2021,March Equinox,,,,,,
Sunday,3/28/2021,First day of Passover,,,,,,
Sunday,3/28/2021,Dolyatra,,,,,,
Sunday,3/28/2021,Holika Dahana,,,,,,
Monday,3/29/2021,Holi,,,,,,
,,,,,,,,
Thursday,4/1/2021,Maundy Thursday,,,,,,
Friday,4/2/2021,Good Friday,,,,,,
Sunday,4/4/2021,Easter Day,,,,,,
Tuesday,4/13/2021,Chaitra Sukhladi,,,,,,
Tuesday,4/13/2021,Ugadi,,,,,,
Tuesday,4/13/2021,Gudi Padwa,,,,,,
Wednesday,4/14/2021,Vaisakhi,,,,,,
Wednesday,4/14/2021,Mesadi,,,,,,
Wednesday,4/14/2021,Ambedkar Jayanti,,,,,,
Thursday,4/15/2021,Bahag Bihu/Vaisakhadi,,,,,,
Wednesday,4/21/2021,Rama Navami,,,,,,
Sunday,4/25/2021,Mahavir Jayanti,,,,,,
,,,,,,,,
